order_purchase_timestamp,order_id,customer_id,order_status,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_item_id,product_id,seller_id,price,product_category_name
2016-09-30,3,3,3,3,3,3,3,3,3,3,3,3
2016-10-31,313,313,313,313,313,313,313,313,313,313,313,311
2016-11-30,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-31,1,1,1,1,1,1,1,1,1,1,1,1
2017-01-31,911,911,911,911,911,911,911,911,911,911,911,899
2017-02-28,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1790
2017-03-31,2897,2897,2897,2897,2897,2897,2897,2897,2897,2897,2897,2837
2017-04-30,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2500
2017-05-31,4003,4003,4003,4003,4003,4003,4003,4003,4003,4003,4003,3912
2017-06-30,3489,3489,3489,3489,3489,3489,3489,3489,3489,3489,3489,3431
2017-07-31,4416,4416,4416,4416,4416,4416,4416,4416,4416,4416,4416,4358
2017-08-31,4797,4797,4797,4797,4797,4797,4797,4797,4797,4797,4797,4722
2017-09-30,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4663
2017-10-31,5214,5214,5214,5214,5214,5214,5214,5214,5214,5214,5214,5146
2017-11-30,8474,8474,8474,8474,8474,8474,8474,8474,8474,8474,8474,8356
2017-12-31,6187,6187,6187,6187,6187,6187,6187,6187,6187,6187,6187,6050
2018-01-31,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,7844
2018-02-28,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,7518,7401
2018-03-31,8017,8017,8017,8017,8017,8017,8017,8017,8017,8017,8017,7884
2018-04-30,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7753
2018-05-31,7810,7810,7810,7810,7810,7810,7810,7810,7810,7810,7810,7768
2018-06-30,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,6984
2018-07-31,6960,6960,6960,6960,6960,6960,6960,6960,6960,6960,6960,6913
2018-08-31,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7111
